Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1077,Ichiro\'a0Suzuki*\\suzukic01,40,NYY,AL,143,385,359,42,102,13,2,1,22,15,3,21,68,.284,.324,.340,.664,89,122,3,1,2,2,1,*9/78D\
1078,Kurt\'a0Suzuki\\suzukku01,30,MIN,AL,131,503,452,37,130,34,0,3,61,0,1,34,46,.288,.345,.383,.727,105,173,9,9,1,7,0,*2/D\
1079,Anthony\'a0Swarzak\\swarzan01,28,MIN,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1080,Ryan\'a0Sweeney*\\sweenry01,29,CHC,NL,77,226,207,22,52,9,0,3,20,0,0,15,33,.251,.304,.338,.642,79,70,4,1,2,1,2,897/D\
1081,Nick\'a0Swisher#\\swishni01,33,CLE,AL,97,401,360,33,75,20,0,8,42,0,0,36,111,.208,.278,.331,.608,70,119,7,0,1,4,0,3D/97\
1082,Matt\'a0Szczur\\szczuma01,24,CHC,NL,33,66,62,6,14,2,0,2,5,0,0,4,11,.226,.273,.355,.628,73,22,1,0,0,0,0,9/87D\
1083,Jose\'a0Tabata\\tabatjo01,25,PIT,NL,80,186,174,14,49,5,2,0,17,1,2,7,26,.282,.314,.333,.647,83,58,12,2,1,2,0,97/8D\
1084,Masahiro\'a0Tanaka\\tanakma01,25,NYY,AL,3,9,9,0,1,0,0,0,0,0,0,0,5,.111,.111,.111,.222,-37,1,0,0,0,0,0,1\
1085,Oscar\'a0Taveras*\\taveros01,22,STL,NL,80,248,234,18,56,8,0,3,22,0,1,12,37,.239,.278,.312,.590,66,73,10,1,0,1,0,9/8\
1086,Chris\'a0Taylor\\tayloch03,23,SEA,AL,47,151,136,16,39,8,0,0,9,5,2,11,39,.287,.347,.346,.692,102,47,3,2,1,1,0,6\
1087,Michael\'a0Taylor\\taylomi02,23,WSN,NL,17,43,39,5,8,3,0,1,5,0,2,3,17,.205,.279,.359,.638,75,14,1,1,0,0,0,8/9\
1088,Michael\'a0Taylor\\taylomi01,28,CHW,AL,11,33,28,3,7,1,0,0,0,0,0,5,9,.250,.364,.286,.649,90,8,0,0,0,0,0,/7D\
1089,Junichi\'a0Tazawa\\tazawju01,28,BOS,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1090,Taylor\'a0Teagarden\\teagata01,30,NYM,NL,9,30,28,1,4,0,0,1,5,0,0,2,7,.143,.200,.250,.450,29,7,1,0,0,0,0,/2\
1091,Julio\'a0Teheran\\teherju01,23,ATL,NL,31,76,66,1,7,1,0,0,6,0,0,1,21,.106,.132,.121,.254,-27,8,1,1,8,0,0,1\
1092,Mark\'a0Teixeira#\\teixema01,34,NYY,AL,123,508,440,56,95,14,0,22,62,1,1,58,109,.216,.313,.398,.711,101,175,13,6,0,4,3,*3/D\
1093,Ruben\'a0Tejada\\tejadru01,24,NYM,NL,119,419,355,30,84,11,0,5,34,1,2,50,73,.237,.342,.310,.652,90,110,8,8,4,2,11,*6\
1094,Tomas\'a0Telis#\\telisto01,23,TEX,AL,18,71,68,7,17,2,0,0,8,0,0,1,10,.250,.271,.279,.551,55,19,2,1,1,0,0,2/D\
1095,Nick\'a0Tepesch\\tepesni01,25,TEX,AL,2,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,181,1,0,0,0,0,0,1\
1096,Joey\'a0Terdoslavich#\\terdojo01,25,ATL,NL,9,11,10,1,3,2,0,0,2,0,0,0,3,.300,.364,.500,.864,142,5,0,1,0,0,0,/39\
1097,Joe\'a0Thatcher*\\thatcjo01,32,TOT,MLB,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1098,Dale\'a0Thayer\\thayeda01,33,SDP,NL,65,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1099,Caleb\'a0Thielbar\\thielca01,27,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1100,Josh\'a0Thole*\\tholejo01,27,TOR,AL,57,150,133,11,33,4,0,0,7,0,3,14,25,.248,.320,.278,.598,72,37,4,0,3,0,0,2/D\
1101,Ian\'a0Thomas\\thomaia01,27,ATL,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1102,Tyler\'a0Thornburg\\thornty01,25,MIL,NL,25,2,1,0,0,0,0,0,0,0,0,0,0,.000,.500,.000,.500,54,0,0,1,0,0,0,1\
1103,Matt\'a0Thornton*\\thornma01,37,TOT,MLB,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1104,Chris\'a0Tillman\\tillmch01,26,BAL,AL,3,5,4,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
1105,Shawn\'a0Tolleson\\tollesh01,26,TEX,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1106,Steven\'a0Tolleson\\tollest01,30,TOR,AL,108,189,170,21,43,7,2,3,16,3,1,12,49,.253,.308,.371,.679,92,63,3,2,4,1,0,45/916D7\
1107,Josh\'a0Tomlin\\tomlijo01,29,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/D\
1108,Alex\'a0Torres*\\torreal01,26,SDP,NL,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1109,Carlos\'a0Torres\\torreca01,31,NYM,NL,70,7,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,2,0,0,1\
1110,Wilfredo\'a0Tovar\\tovarwi01,22,NYM,NL,2,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/6\
1111,Blake\'a0Treinen\\treinbl01,26,WSN,NL,15,15,12,0,1,0,0,0,0,0,0,1,8,.083,.154,.083,.237,-32,1,0,0,2,0,0,1\
1112,Carlos\'a0Triunfel\\triunca01,24,LAD,NL,12,16,15,3,2,0,0,1,1,0,0,1,5,.133,.188,.333,.521,45,5,0,0,0,0,0,6\
1113,Nick\'a0Tropeano\\tropeni01,23,HOU,AL,1,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,58,0,0,0,0,0,0,/1\
1114,Mike\'a0Trout\\troutmi01,22,LAA,AL,157,705,602,115,173,39,9,36,111,16,2,83,184,.287,.377,.561,.939,168,338,6,10,0,10,6,*8/D\
1115,Mark\'a0Trumbo\\trumbma01,28,ARI,NL,88,362,328,37,77,15,1,14,61,2,3,28,89,.235,.293,.415,.707,95,136,8,1,0,5,3,37/D\
1116,Sam\'a0Tuivailala\\tuivasa01,21,STL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
1117,Troy\'a0Tulowitzki\\tulowtr01,29,COL,NL,91,375,315,71,107,18,1,21,52,1,1,50,57,.340,.432,.603,1.035,170,190,4,5,0,5,4,6\
1118,Jacob\'a0Turner\\turneja01,23,TOT,NL,24,29,23,1,4,2,0,0,0,0,0,1,12,.174,.208,.261,.469,31,6,0,0,5,0,0,1\
1119,Justin\'a0Turner\\turneju01,29,LAD,NL,109,322,288,46,98,21,1,7,43,6,1,28,58,.340,.404,.493,.897,155,142,6,4,0,2,1,564/3\
1120,Koji\'a0Uehara\\ueharko01,39,BOS,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1121,Dan\'a0Uggla\\ugglada01,34,TOT,NL,52,157,141,14,21,3,0,2,10,0,0,11,46,.149,.229,.213,.442,27,30,3,4,0,1,0,4\
1122,Justin\'a0Upton\\uptonju01,26,ATL,NL,154,641,566,77,153,34,2,29,102,8,4,60,171,.270,.342,.491,.833,133,278,10,6,0,8,1,*7/D\
1123,Melvin\'a0Upton\\uptonbj01,29,ATL,NL,141,582,519,67,108,19,5,12,35,20,7,57,173,.208,.287,.333,.620,75,173,6,1,3,2,5,*8\
1124,Juan\'a0Uribe\\uribeju01,35,LAD,NL,103,404,386,36,120,23,0,9,54,0,1,15,77,.311,.337,.440,.777,120,170,15,1,0,2,2,5\
1125,Chase\'a0Utley*\\utleych01,35,PHI,NL,155,664,589,74,159,36,6,11,78,10,1,53,85,.270,.339,.407,.746,108,240,8,13,0,9,12,*4/3D\
1126,Chris\'a0Valaika\\valaich01,28,CHC,NL,44,131,121,10,28,4,0,3,13,1,0,7,35,.231,.282,.339,.621,72,41,5,2,0,1,1,34/56\
1127,Luis\'a0Valbuena*\\valbulu01,28,CHC,NL,149,547,478,68,119,33,4,16,51,1,2,65,113,.249,.341,.435,.776,115,208,8,2,1,1,4,*54/D\
1128,Jordany\'a0Valdespin*\\valdejo02,26,MIA,NL,52,113,98,8,21,2,1,3,10,1,0,9,16,.214,.280,.347,.627,75,34,1,0,6,0,0,49/8D\
1129,Danny\'a0Valencia\\valenda01,29,TOT,AL,86,284,264,20,68,16,1,4,30,1,1,14,62,.258,.296,.371,.667,87,98,8,2,0,4,0,53/4D\
1130,Jose\'a0Valverde\\valvejo01,36,NYM,NL,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1131,Scott\'a0Van\'a0Slyke\\vanslsc01,27,LAD,NL,98,246,212,32,63,13,1,11,29,4,2,28,71,.297,.386,.524,.910,157,111,3,4,0,2,0,7389\
1132,Kennys\'a0Vargas#\\vargake01,23,MIN,AL,53,234,215,26,59,10,1,9,38,0,0,12,63,.274,.316,.456,.772,115,98,5,3,0,4,2,D3\
1133,Anthony\'a0Varvaro\\varvaan01,29,ATL,NL,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1134,Christian\'a0Vazquez\\vazquch01,23,BOS,AL,55,201,175,15,42,9,0,1,20,0,0,19,33,.240,.308,.309,.617,73,54,4,0,3,4,1,2/D\
1135,Donnie\'a0Veal*\\vealdo01,29,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
1136,Will\'a0Venable*\\venabwi01,31,SDP,NL,146,448,406,47,91,13,2,8,33,11,6,33,107,.224,.288,.325,.613,78,132,6,4,3,2,2,*89/7\
1137,Yordano\'a0Ventura\\ventuyo01,23,KCR,AL,2,5,4,1,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,41,1,0,0,1,0,0,1\
1138,Jose\'a0Veras\\verasjo01,33,TOT,MLB,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1139,Justin\'a0Verlander\\verlaju01,31,DET,AL,3,7,6,1,2,0,0,0,0,0,0,0,0,.333,.333,.333,.667,90,2,0,0,1,0,0,1\
1140,Dayan\'a0Viciedo\\vicieda01,25,CHW,AL,145,563,523,65,121,22,3,21,58,0,1,32,122,.231,.281,.405,.686,95,212,19,5,0,3,3,*97D/3\
1141,Shane\'a0Victorino\\victosh01,33,BOS,AL,30,133,123,14,33,6,1,2,12,2,0,6,21,.268,.303,.382,.685,90,47,3,1,1,2,0,9\
1142,Carlos\'a0Villanueva\\villaca01,30,CHC,NL,40,13,10,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,0,1,0,3,0,0,1\
1143,Jonathan\'a0Villar#\\villajo01,23,HOU,AL,87,289,263,31,55,13,2,7,27,17,4,19,80,.209,.267,.354,.620,75,93,4,2,4,1,1,6/D\
1144,Pedro\'a0Villarreal\\villape01,26,CIN,NL,10,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,183,1,0,0,0,0,0,1\
1145,Nick\'a0Vincent\\vinceni01,27,SDP,NL,59,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1146,Arodys\'a0Vizcaino\\vizcaar01,23,CHC,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
1147,Ryan\'a0Vogelsong\\vogelry01,36,SFG,NL,31,66,61,3,7,2,0,0,2,0,0,2,20,.115,.156,.148,.304,-12,9,1,1,2,0,0,1\
1148,Stephen\'a0Vogt*\\vogtst01,29,OAK,AL,84,287,269,26,75,10,2,9,35,1,0,16,39,.279,.321,.431,.752,113,116,2,1,0,1,2,392/D7\
1149,Edinson\'a0Volquez\\volqued01,30,PIT,NL,30,64,53,3,2,0,0,0,2,0,0,3,27,.038,.089,.038,.127,-62,2,0,0,8,0,0,1\
1150,Joey\'a0Votto*\\vottojo01,30,CIN,NL,62,272,220,32,56,16,0,6,23,1,1,47,49,.255,.390,.409,.799,125,90,5,3,0,2,2,3\
1151,Michael\'a0Wacha\\wachami01,22,STL,NL,17,32,29,1,1,0,0,0,2,0,0,0,18,.034,.034,.034,.069,-81,1,0,0,3,0,0,1\
1152,Tsuyoshi\'a0Wada*\\wadats01,33,CHC,NL,13,24,20,0,1,0,0,0,0,0,0,1,10,.050,.095,.050,.145,-58,1,0,0,3,0,0,1\
1153,Adam\'a0Wainwright\\wainwad01,32,STL,NL,30,82,72,4,13,3,0,0,6,0,0,3,22,.181,.213,.222,.436,23,16,0,0,7,0,0,1\
1154,Jordan\'a0Walden\\waldejo01,26,ATL,NL,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1155,Christian\'a0Walker\\walkech02,23,BAL,AL,6,19,18,1,3,1,0,1,1,0,0,1,9,.167,.211,.389,.599,64,7,0,0,0,0,0,/3\
1156,Neil\'a0Walker#\\walkene01,28,PIT,NL,137,571,512,74,139,25,3,23,76,2,2,45,88,.271,.342,.467,.809,126,239,12,11,1,2,2,*4\
1157,Zach\'a0Walters#\\walteza01,24,TOT,MLB,62,137,127,16,23,3,0,10,17,0,0,9,48,.181,.241,.441,.682,86,56,0,1,0,0,0,D/74569\
1158,Wei-Chung\'a0Wang*\\wangwe01,22,MIL,NL,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1159,Adam\'a0Warren\\warread01,26,NYY,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1160,Logan\'a0Watkins*\\watkilo01,24,CHC,NL,31,68,65,10,16,3,0,1,6,1,0,1,16,.246,.269,.338,.607,68,22,0,1,1,0,1,4/9D\
1161,Tony\'a0Watson*\\watsoto01,29,PIT,NL,75,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,89,1,0,0,0,0,0,1\
1162,Jered\'a0Weaver\\weaveje02,31,LAA,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1163,Daniel\'a0Webb\\webbda01,24,CHW,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1164,Ryan\'a0Webb\\webbry01,28,BAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1165,Jemile\'a0Weeks#\\weeksje01,27,TOT,AL,17,45,37,8,11,3,1,0,3,2,0,4,2,.297,.372,.432,.805,125,16,1,1,2,1,0,/46D\
1166,Rickie\'a0Weeks\\weeksri01,31,MIL,NL,121,286,252,36,69,19,1,8,29,3,4,25,73,.274,.357,.452,.809,123,114,7,8,0,1,0,4/D\
1167,Jayson\'a0Werth\\werthja01,35,WSN,NL,147,629,534,85,156,37,1,16,82,9,1,83,113,.292,.394,.455,.849,134,243,9,9,0,3,3,*9/D\
1168,Ryan\'a0Wheeler*\\wheelry01,25,COL,NL,31,64,56,6,13,2,0,2,13,0,0,5,12,.232,.281,.375,.656,72,21,1,0,0,3,0,5/3\
1169,Zack\'a0Wheeler*\\wheelza01,24,NYM,NL,32,63,50,1,4,1,0,0,3,0,0,1,24,.080,.098,.100,.198,-43,5,0,0,12,0,0,1\
1170,Zelous\'a0Wheeler\\wheelze01,27,NYY,AL,29,62,57,6,11,0,0,2,5,0,0,2,12,.193,.230,.298,.528,49,17,1,1,1,1,0,5/9D7\
1171,Kevin\'a0Whelan\\whelake01,30,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
1172,Eli\'a0Whiteside\\whiteel03,34,CHC,NL,8,26,25,0,3,1,0,0,2,1,0,0,8,.120,.115,.160,.275,-24,4,0,0,0,1,0,/2\
1173,Chase\'a0Whitley\\whitlch01,25,NYY,AL,3,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,14,1,0,0,0,0,0,1\
1174,Joe\'a0Wieland\\wielajo01,24,SDP,NL,4,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
1175,Matt\'a0Wieters#\\wietema01,28,BAL,AL,26,112,104,13,32,5,0,5,18,0,1,6,19,.308,.339,.500,.839,132,52,1,0,0,2,0,2/D\
1176,Tom\'a0Wilhelmsen\\wilheto01,30,SEA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1177,Andy\'a0Wilkins*\\wilkian01,25,CHW,AL,17,45,43,2,6,2,0,0,2,0,0,2,22,.140,.178,.186,.364,5,8,1,0,0,0,0,3/D\
1178,Jackson\'a0Williams\\willija01,28,COL,NL,7,16,14,1,3,0,0,1,3,0,0,2,4,.214,.313,.429,.741,94,6,1,0,0,0,0,/2\
1179,Jerome\'a0Williams\\willije01,32,TOT,MLB,9,16,12,0,2,0,0,0,3,0,0,0,4,.167,.167,.167,.333,-6,2,0,0,4,0,0,1\
1180,Josh\'a0Willingham\\willijo03,35,TOT,AL,92,364,297,48,64,10,1,14,40,2,0,53,102,.215,.346,.397,.743,109,118,6,9,0,5,3,7D/9\
1181,Alex\'a0Wilson\\wilsoal01,27,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1182,Bobby\'a0Wilson\\wilsobo02,31,ARI,NL,2,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,40,1,0,0,0,0,0,/2\
1183,Brian\'a0Wilson\\wilsobr01,32,LAD,NL,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1184,C.J.\'a0Wilson*\\wilsocj01,33,LAA,AL,2,3,2,1,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,8,0,0,0,0,0,0,1\
1185,Josh\'a0Wilson\\wilsojo03,33,TEX,AL,24,72,67,7,16,4,0,0,8,1,0,2,14,.239,.271,.299,.570,59,20,3,1,2,0,0,4/56\
1186,Justin\'a0Wilson*\\wilsoju10,26,PIT,NL,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1187,Chris\'a0Withrow\\withrch01,25,LAD,NL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1188,Randy\'a0Wolf*\\wolfra02,37,MIA,NL,6,7,7,0,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-19,1,0,0,0,0,0,/1\
1189,Kolten\'a0Wong*\\wongko01,23,STL,NL,113,433,402,52,100,14,3,12,42,20,4,21,71,.249,.292,.388,.680,89,156,12,4,5,1,3,4\
1190,Alex\'a0Wood\\woodal02,23,ATL,NL,31,48,41,1,3,0,0,0,2,0,0,2,28,.073,.116,.073,.189,-45,3,0,0,5,0,0,1\
1191,Travis\'a0Wood\\woodtr01,27,CHC,NL,38,66,56,9,13,2,0,3,10,0,0,1,17,.232,.271,.429,.700,91,24,1,2,7,0,0,1\
1192,Rob\'a0Wooten\\wootero01,28,MIL,NL,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1193,Brandon\'a0Workman\\workmbr01,25,BOS,AL,2,4,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
1194,Vance\'a0Worley\\worleva01,26,PIT,NL,19,38,32,1,2,1,0,0,0,0,0,1,17,.063,.091,.094,.185,-48,3,0,0,5,0,0,1\
1195,Danny\'a0Worth\\worthda01,28,DET,AL,18,46,42,5,7,1,0,0,5,0,1,2,12,.167,.217,.190,.408,17,8,1,1,0,1,0,6/413\
1196,David\'a0Wright\\wrighda03,31,NYM,NL,134,586,535,54,144,30,1,8,63,8,5,42,113,.269,.324,.374,.698,101,200,22,4,0,5,5,*5\
1197,Jamey\'a0Wright\\wrighja01,39,LAD,NL,56,6,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
1198,Steven\'a0Wright\\wrighst01,29,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
1199,Wesley\'a0Wright\\wrighwe01,29,CHC,NL,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1200,Kirby\'a0Yates*\\yateski01,27,TBR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1201,Christian\'a0Yelich*\\yelicch01,22,MIA,NL,144,660,582,94,165,30,6,9,54,21,7,70,137,.284,.362,.402,.764,115,234,9,3,3,2,3,*78\
1202,Rafael\'a0Ynoa#\\ynoara01,26,COL,NL,19,71,67,5,23,6,1,0,13,0,0,4,9,.343,.380,.463,.843,122,31,1,0,0,0,0,5/64\
1203,Chris\'a0Young\\youngch04,30,TOT,MLB,111,366,325,40,72,20,0,11,38,8,3,32,70,.222,.299,.385,.683,95,125,3,5,1,3,2,78/9D\
1204,Chris\'a0Young\\youngch03,35,SEA,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1205,Delmon\'a0Young\\youngde03,28,BAL,AL,83,255,242,27,73,11,1,7,30,2,0,10,51,.302,.337,.442,.779,117,107,6,3,0,0,0,D7/9\
1206,Eric\'a0Young#\\younger03,29,NYM,NL,100,316,280,48,64,10,5,1,17,30,6,24,60,.229,.299,.311,.610,77,87,2,5,5,2,1,7/48D\
1207,Josh\'a0Zeid\\zeidjo01,27,HOU,AL,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1208,Brad\'a0Ziegler\\zieglbr01,34,ARI,NL,64,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1209,Ryan\'a0Zimmerman\\zimmery01,29,WSN,NL,61,240,214,26,60,19,1,5,38,0,0,22,37,.280,.342,.449,.790,117,96,6,0,0,4,0,75/3D\
1210,Jordan\'a0Zimmermann\\zimmejo02,28,WSN,NL,30,67,55,3,10,1,0,0,1,0,0,2,21,.182,.207,.200,.407,13,11,0,0,9,1,0,1\
1211,Ben\'a0Zobrist#\\zobribe01,33,TBR,AL,146,654,570,83,155,34,3,10,52,10,5,75,84,.272,.354,.395,.749,116,225,8,1,2,6,4,4769/D8\
1212,Mike\'a0Zunino\\zuninmi01,23,SEA,AL,131,476,438,51,87,20,2,22,60,0,3,17,158,.199,.254,.404,.658,88,177,12,17,0,4,1,*2/D\
1213,LgAvg per 600 PA,,,,196,600,540,64,135,26,3,13,61,9,3,46,123,.249,.312,.383,.695,,207,12,5,4,4,3,\
}
