Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos
480,Jesse\'a0Litsch\\litscje01,26,TOR,28,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$830000,Amateur Draft,1\
481,Chris\'a0Denorfia\\denorch01,30,SDP,111,340,2,-2,-1,4,-4,-1,-0.1,11,10,1.0,.500,.500,0.5,0.0,6,$800000,Free Agency,978\
482,Chad\'a0Durbin\\durbich01,33,CLE,56,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$800000,Free Agency,1\
483,Willie\'a0Harris*\\harriwi02,33,NYM,126,283,-3,-1,0,-14,-1,-19,-2.1,9,-10,-1.2,.484,.487,0.3,-1.7,4,$800000,Free Agency,74/589D\
484,Mark\'a0Kotsay*\\kotsama01,35,MIL,104,255,-3,1,0,1,-2,-3,-0.3,8,5,0.5,.497,.498,0.3,-0.2,4,$800000,Free Agency,9738\
485,Edward\'a0Mujica\\mujiced01,27,FLA,67,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$800000,Traded,1\
486,Brad\'a0Thomas*\\thomabr01,33,DET,12,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$800000,Free Agency,1\
487,Felipe\'a0Paulino\\paulife01,27,2TM,39,4,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$790000,Traded,1\
488,Wil\'a0Nieves\\nievewi01,33,MIL,20,54,-7,0,0,1,1,-6,-0.6,2,-4,-0.5,.469,.496,-0.6,0.2,-5,$775000,Free Agency,2\
489,Reggie\'a0Willits#\\willire03,30,LAA,22,28,-4,0,1,-1,0,-5,-0.5,1,-4,-0.4,.477,.497,-0.3,-0.2,-3,$775000,Amateur Draft,7/9\
490,Burke\'a0Badenhop\\badenbu01,28,FLA,50,8,0,0,0,0,1,2,0.2,0,2,0.2,.504,.501,0.2,0.0,2,$750000,Traded,1\
491,Miguel\'a0Batista\\batismi01,40,2TM,35,8,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$750000,Free Agency,/1\
492,Jared\'a0Burton\\burtoja01,30,CIN,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$750000,Rule 5 Draft,/1\
493,Jesus\'a0Flores\\floreje02,26,WSN,30,91,-6,0,0,0,1,-4,-0.5,3,-2,-0.2,.484,.497,-0.2,0.2,-2,$750000,Rule 5 Draft,2\
494,Adam\'a0Kennedy*\\kennead01,35,SEA,114,409,-13,0,1,0,-3,-14,-1.5,15,1,0.0,.487,.491,0.0,-0.3,1,$750000,Free Agency,345D\
495,Nick\'a0Punto#\\puntoni01,33,STL,63,166,5,0,0,3,1,9,1.0,5,14,1.5,.516,.506,1.1,0.5,11,$750000,Free Agency,4/65\
496,Jarrod\'a0Saltalamacchia#\\saltaja01,26,BOS,103,386,-5,0,-1,-4,6,-4,-0.3,14,11,1.1,.496,.498,1.5,0.2,15,$750000,Traded,2\
497,Brian\'a0Tallet*\\tallebr01,33,2TM,19,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$750000,Free Agency,1\
498,Blaine\'a0Boyer\\boyerbl01,29,NYM,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$725000,Free Agency,/1\
499,Josh\'a0Wilson\\wilsojo03,30,2TM,60,92,-2,0,0,0,1,-1,-0.1,3,2,0.2,.499,.499,0.2,0.1,2,$725000,Free Agency,/6\
500,Adam\'a0Everett\\everead01,34,CLE,34,67,-5,0,0,0,0,-5,-0.5,3,-2,-0.2,.486,.497,-0.2,0.0,-2,$700000,Free Agency,5/4D6\
501,Laynce\'a0Nix*\\nixla01,30,WSN,124,351,3,-1,1,5,-4,4,0.5,11,15,1.6,.504,.503,1.0,0.1,10,$700000,Free Agency,79/38D\
502,Glen\'a0Perkins*\\perkigl01,28,MIN,65,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$700000,Amateur Draft,1\
503,Doug\'a0Slaten*\\slatedo01,31,WSN,31,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$695000,Waivers,1\
504,Tony\'a0Gwynn*\\gwynnto02,28,LAD,136,340,-6,2,2,15,-3,11,1.2,11,21,2.2,.509,.507,0.5,1.4,6,$675000,Free Agency,*78/9\
505,Brayan\'a0Pena#\\penabr01,29,KCR,72,240,-9,-2,0,3,4,-4,-0.4,9,5,0.5,.494,.497,0.2,0.7,2,$660000,Waivers,2\
506,Alfredo\'a0Aceves\\aceveal01,28,BOS,55,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$650000,Free Agency,1\
507,Luis\'a0Ayala\\ayalalu01,33,NYY,52,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$650000,Free Agency,1\
508,Jay\'a0Gibbons*\\gibboja01,34,LAD,24,62,-1,0,0,-1,-1,-2,-0.3,2,0,-0.1,.489,.498,0.0,-0.2,1,$650000,Free Agency,7/9D\
509,Bill\'a0Bray*\\braybi01,28,CIN,79,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$645000,Traded,1\
510,Mike\'a0Aviles\\avilemi01,30,2TM,91,309,-5,-2,-1,-4,2,-10,-1.0,12,2,0.1,.488,.496,0.5,-0.2,6,$640000,Traded,5/6497\
511,Travis\'a0Buck*\\bucktr01,27,CLE,50,160,-5,0,0,6,-2,-1,-0.1,6,5,0.5,.498,.499,-0.1,0.4,-1,$625000,Free Agency,79/D8\
512,Pat\'a0Neshek#\\neshepa01,30,SDP,25,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$625000,Waivers,1\
513,Yonder\'a0Alonso*\\alonsyo01,24,CIN,47,98,6,0,0,-6,-1,-1,-0.1,3,3,0.2,.499,.500,0.9,-0.7,8,$600000,Amateur Draft,7/35\
514,Taylor\'a0Buchholz\\buchhta01,29,NYM,23,2,-1,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$600000,Free Agency,1\
515,Greg\'a0Dobbs*\\dobbsgr01,32,FLA,134,439,-5,-1,-1,-9,1,-15,-1.7,14,-1,-0.3,.488,.490,0.6,-0.9,8,$600000,Free Agency,5/397D\
516,Alberto\'a0Gonzalez\\gonzaal03,28,SDP,102,267,-12,0,0,3,3,-6,-0.7,8,2,0.1,.493,.496,-0.3,0.6,-1,$600000,Traded,465/3\
517,Andy\'a0LaRoche\\larocan01,27,OAK,40,104,-3,-1,-1,-1,1,-5,-0.5,4,-1,-0.1,.487,.497,0.0,0.0,0,$600000,Free Agency,5/643\
518,Pete\'a0Orr*\\orrpe01,32,PHI,46,104,-8,1,1,2,1,-3,-0.4,3,0,-0.1,.492,.498,-0.3,0.3,-2,$600000,Free Agency,4/5\
519,Jason\'a0Repko\\repkoja01,30,MIN,67,144,-9,1,0,2,-3,-9,-0.9,5,-3,-0.4,.486,.494,-0.6,-0.1,-5,$600000,Free Agency,97/D8\
520,Luis\'a0Rodriguez#\\rodrilu01,31,SEA,44,139,-2,0,1,-2,2,-3,-0.3,5,3,0.2,.494,.498,0.5,-0.1,5,$600000,Free Agency,65/43\
521,Max\'a0Scherzer\\scherma01,26,DET,33,4,-1,0,0,0,1,0,-0.1,0,0,-0.1,.499,.500,-0.1,0.0,0,$600000,Traded,1\
522,Buster\'a0Posey\\poseybu01,24,SFG,45,185,3,0,-1,3,3,8,0.9,6,14,1.4,.519,.505,1.1,0.6,11,$575000,Amateur Draft,2/3\
523,Wilson\'a0Valdez\\valdewi01,33,PHI,99,300,-10,2,1,-10,3,-15,-1.6,9,-5,-0.7,.484,.490,0.4,-0.8,5,$560000,Free Agency,465/1\
524,Joey\'a0Devine\\devinjo01,27,OAK,26,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$557500,Traded,1\
525,Clay\'a0Buchholz*\\buchhcl01,26,BOS,14,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$555000,Amateur Draft,1\
526,Ryan\'a0Hanigan\\hanigry01,30,CIN,91,304,1,0,0,0,5,6,0.6,9,15,1.6,.507,.504,1.5,0.5,15,$550000,Amateur Free Agent,2\
527,Jeremy\'a0Reed*\\reedje03,30,MIL,7,7,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.471,.499,-0.2,0.0,-2,$550000,Free Agency,\
528,Brett\'a0Gardner*\\gardnbr01,27,NYY,159,588,-7,5,2,23,-5,18,2.0,22,40,4.1,.512,.512,1.7,1.9,17,$529500,Amateur Draft,*78\
529,Ryan\'a0Langerhans*\\langery01,31,SEA,19,64,0,-2,0,-6,0,-8,-0.8,2,-6,-0.6,.457,.495,0.0,-0.6,0,$525000,Free Agency,8/7D9\
530,Andres\'a0Blanco#\\blancan01,27,TEX,36,82,-3,0,0,3,1,1,0.1,3,4,0.4,.502,.500,0.0,0.5,1,$520000,Purchased,6/549\
531,Daniel\'a0Bard\\bardda01,26,BOS,70,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$505000,Amateur Draft,1\
532,Shelley\'a0Duncan\\duncash01,31,CLE,76,247,7,0,-1,-5,-4,-4,-0.4,9,5,0.5,.494,.497,1.0,-1.0,10,$500000,Free Agency,7D/39\
533,Jack\'a0Hannahan*\\hannaja01,31,CLE,110,366,2,1,0,7,1,11,1.1,14,24,2.5,.510,.507,1.7,0.9,17,$500000,Free Agency,5/3\
534,Philip\'a0Humber\\humbeph01,28,CHW,28,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,$500000,Waivers,1\
535,Clayton\'a0Kershaw*\\kershcl01,23,LAD,33,86,-6,1,1,0,11,6,0.7,0,6,0.7,.520,.504,0.6,0.0,6,$500000,Amateur Draft,1\
536,Mike\'a0MacDougal#\\macdomi01,34,LAD,69,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$500000,Free Agency,1\
537,Aaron\'a0Miles#\\milesaa01,34,LAD,136,490,-7,1,0,-7,3,-10,-1.2,15,5,0.4,.492,.493,1.1,-0.5,12,$500000,Free Agency,45/6\
538,Lastings\'a0Milledge\\millela02,26,CHW,2,4,0,0,0,-2,0,-2,-0.2,0,-2,-0.2,.401,.499,0.0,-0.2,0,$500000,Free Agency,/7\
539,Pablo\'a0Sandoval#\\sandopa01,24,SFG,117,466,27,0,0,15,1,43,4.7,15,58,6.1,.540,.529,4.4,1.8,43,$500000,Amateur Free Agent,5/3D\
540,Jason\'a0Heyward*\\heywaja01,21,ATL,128,456,-4,2,1,15,-5,10,1.1,14,24,2.5,.509,.507,0.8,1.2,9,$496500,Amateur Draft,*9\
541,Julio\'a0Borbon*\\borboju01,25,TEX,32,98,-2,1,0,-3,1,-4,-0.4,4,0,0.0,.488,.498,0.3,-0.3,3,$490000,Amateur Draft,8\
542,Chris\'a0Coghlan*\\coghlch01,26,FLA,65,298,-9,0,1,-13,1,-19,-2.1,9,-11,-1.3,.468,.487,0.1,-1.3,2,$490000,Amateur Draft,8\
543,Gordon\'a0Beckham\\beckhgo01,24,CHW,150,557,-16,1,1,3,4,-8,-0.8,21,13,1.2,.494,.495,0.9,0.7,10,$485000,Amateur Draft,*4/D\
544,Jose\'a0Arredondo\\arredjo01,27,CIN,53,2,0,0,0,0,1,1,0.1,0,1,0.1,.501,.500,0.1,0.0,1,$480000,Free Agency,1\
545,Casey\'a0McGehee\\mcgehca01,28,MIL,155,600,-24,-4,-1,3,2,-24,-2.7,19,-5,-0.9,.483,.483,-1.3,0.6,-8,$478000,Waivers,*5/3D\
546,Josh\'a0Rupe\\rupejo01,28,BAL,9,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$475000,Free Agency,/1\
547,Randy\'a0Wells\\wellsra01,28,CHC,23,50,-8,0,0,0,6,-1,-0.1,0,-1,-0.1,.494,.499,-0.2,0.0,-1,$475000,Rule 5 returned,1\
548,J.A.\'a0Happ*\\happja01,28,HOU,29,53,-3,0,0,0,7,4,0.4,0,4,0.4,.515,.503,0.4,0.0,4,$474000,Traded,1\
549,Nyjer\'a0Morgan*\\morgany01,30,MIL,119,429,8,3,0,7,0,18,2.0,13,31,3.3,.517,.512,2.4,0.8,24,$471500,Traded,*897\
550,Darnell\'a0McDonald\\mcdonda02,32,BOS,79,175,-2,0,0,2,-3,-4,-0.4,7,3,0.3,.495,.498,0.1,-0.1,1,$470000,Free Agency,978/D1\
551,Clayton\'a0Richard*\\richacl01,27,SDP,20,32,-5,0,0,0,4,-1,-0.1,0,-1,-0.1,.495,.499,-0.1,0.0,-1,$468800,Traded,1\
552,Justin\'a0Masterson\\masteju01,26,CLE,34,6,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$468400,Traded,1\
553,Jeff\'a0Fulchino\\fulchje01,31,2TM,39,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$467000,Waivers,1\
554,Andrew\'a0Bailey\\bailean01,27,OAK,42,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$465000,Amateur Draft,1\
555,Brian\'a0Duensing*\\duensbr01,28,MIN,33,4,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$462500,Amateur Draft,1\
556,Evan\'a0Meek\\meekev01,28,PIT,24,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$461500,Purchased,1\
557,Mat\'a0Latos\\latosma01,23,SDP,31,63,-10,0,0,0,8,-2,-0.3,0,-2,-0.3,.492,.498,-0.3,0.0,-2,$460700,Amateur Draft,1\
558,David\'a0Robertson\\roberda08,26,NYY,70,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$460450,Amateur Draft,1\
559,Blake\'a0DeWitt*\\dewitbl01,25,CHC,121,243,-1,-1,0,-4,0,-5,-0.6,8,2,0.2,.495,.496,0.5,-0.5,6,$460000,Traded,745\
560,Mitch\'a0Maier*\\maiermi01,29,KCR,45,113,-1,1,0,5,-1,4,0.4,4,8,0.8,.509,.502,0.3,0.4,3,$459000,Amateur Draft,79/8D1\
561,Neftali\'a0Feliz\\felizne01,23,TEX,64,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$457160,Traded,1\
562,Tommy\'a0Hanson\\hansoto01,24,ATL,22,45,-9,-1,0,0,6,-4,-0.5,0,-4,-0.5,.478,.497,-0.5,0.0,-4,$456500,Amateur Draft,1\
563,Francisco\'a0Cervelli\\cervefr01,25,NYY,43,137,0,1,0,-1,2,3,0.3,5,8,0.8,.506,.502,0.9,0.1,9,$455700,Amateur Free Agent,2/54\
564,Garrett\'a0Jones*\\jonesga02,30,PIT,148,478,6,-4,1,-7,-6,-10,-1.1,15,5,0.3,.492,.493,1.0,-1.4,12,$455500,Free Agency,93/D\
565,Gustavo\'a0Molina\\molingu01,29,NYY,3,6,-1,0,0,0,0,-1,-0.1,0,0,0.0,.483,.500,0.0,0.0,0,$455000,Free Agency,/2\
566,Andrew\'a0McCutchen\\mccutan01,24,PIT,158,678,26,-1,1,5,3,34,3.6,21,55,5.7,.523,.523,5.0,0.9,50,$452500,Amateur Draft,*8/D\
567,Matt\'a0Wieters#\\wietema01,25,BAL,139,551,4,0,-2,17,8,27,2.9,21,48,4.9,.521,.518,3.2,2.7,31,$452250,Amateur Draft,*2/D3\
568,Elvis\'a0Andrus\\andruel01,22,TEX,150,665,-3,7,0,7,7,18,2.0,24,42,4.3,.513,.512,3.6,1.5,35,$452180,Traded,*6/D\
569,Jon\'a0Niese*\\niesejo01,24,NYM,29,60,-10,0,0,0,8,-2,-0.3,0,-2,-0.3,.491,.498,-0.3,0.0,-2,$452000,Amateur Draft,1\
570,Madison\'a0Bumgarner\\bumgama01,21,SFG,35,75,-8,0,0,0,10,2,0.2,0,2,0.2,.506,.501,0.2,0.0,2,$450000,Amateur Draft,1\
571,Jed\'a0Lowrie#\\lowrije01,27,BOS,88,341,-8,0,0,-2,3,-8,-0.8,13,5,0.5,.491,.495,0.7,0.1,7,$450000,Amateur Draft,65/3D4\
572,Dustin\'a0McGowan\\mcgowdu01,29,TOR,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$450000,Amateur Draft,/1\
573,Sergio\'a0Romo\\romose01,28,SFG,65,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$450000,Amateur Draft,1\
574,Drew\'a0Stubbs\\stubbdr01,26,CIN,158,681,-10,6,3,-4,3,-3,-0.3,21,18,1.8,.498,.498,2.1,-0.1,22,$450000,Amateur Draft,*8\
575,Luke\'a0Gregerson*\\gregelu01,27,SDP,61,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$447800,Traded,1\
576,Jose\'a0Mijares*\\mijarjo01,26,MIN,58,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$445000,Amateur Free Agent,1\
577,Chris\'a0Volstad\\volstch01,24,FLA,29,52,-5,0,0,0,7,1,0.1,0,1,0.1,.505,.501,0.1,0.0,1,$445000,Amateur Draft,1\
578,Will\'a0Venable*\\venabwi01,28,SDP,121,411,0,4,1,6,-4,7,0.7,13,20,2.0,.506,.505,1.3,0.3,14,$444400,Amateur Draft,*98/7\
579,Brett\'a0Cecil\\cecilbr01,24,TOR,20,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$443100,Amateur Draft,1\
580,Tyler\'a0Clippard\\clippty01,26,WSN,72,3,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$443000,Traded,1\
581,Chris\'a0Getz*\\getzch01,27,KCR,118,429,-14,1,1,-1,2,-10,-1.1,16,6,0.5,.491,.493,0.7,0.2,7,$443000,Traded,*4/D6\
582,James\'a0McDonald*\\mcdonja03,26,PIT,31,63,-10,0,-1,0,8,-3,-0.3,0,-3,-0.3,.490,.498,-0.3,0.0,-3,$443000,Traded,1\
583,Colby\'a0Rasmus*\\rasmuco01,24,2TM,129,526,-10,0,0,-4,3,-12,-1.2,17,6,0.5,.490,.499,0.9,-0.2,10,$443000,Amateur Draft,8\
584,John\'a0Axford\\axforjo01,28,MIL,74,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$442500,Free Agency,1\
585,Tommy\'a0Hunter\\hunteto02,24,2TM,20,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$442160,Traded,1\
586,Wilton\'a0Lopez\\lopezwi01,27,HOU,73,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$442000,Waivers,1\
587,John\'a0Bowker*\\bowkejo01,27,2TM,31,32,-4,-1,0,0,0,-4,-0.4,1,-3,-0.4,.486,.499,-0.4,0.0,-3,$441500,Conditional Deal,/39\
588,Ian\'a0Desmond\\desmoia01,25,WSN,154,639,-13,3,2,-3,8,-4,-0.5,20,16,1.5,.497,.497,1.8,0.5,19,$441500,Amateur Draft,*6\
589,Chris\'a0Narveson*\\narvech01,29,MIL,30,59,-7,-1,0,0,8,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$441500,Free Agency,1\
590,Homer\'a0Bailey\\baileho02,25,CIN,23,45,-2,-1,0,0,6,3,0.3,0,3,0.3,.514,.502,0.3,0.0,3,$441000,Amateur Draft,1\
591,Charlie\'a0Morton\\mortoch02,27,PIT,29,64,-10,0,0,0,8,-2,-0.3,0,-2,-0.3,.491,.498,-0.3,0.0,-2,$441000,Traded,1\
592,Scott\'a0Atchison\\atchisc01,35,BOS,17,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$440000,Free Agency,1\
593,Trevor\'a0Cahill\\cahiltr01,23,OAK,34,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.498,.499,-0.1,0.0,-1,$440000,Amateur Draft,1\
594,Starlin\'a0Castro\\castrst01,21,CHC,158,715,12,0,-1,-10,8,9,0.9,21,30,3.0,.506,.506,4.0,-0.2,40,$440000,Amateur Free Agent,*6\
595,Phil\'a0Coke*\\cokeph01,28,DET,48,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$440000,Traded,1\
596,Tyler\'a0Colvin*\\colvity01,25,CHC,80,222,-19,0,1,5,-2,-15,-1.7,7,-8,-1.0,.479,.489,-1.6,0.3,-13,$440000,Amateur Draft,97/83\
597,Austin\'a0Jackson\\jacksau01,24,DET,153,668,-10,2,0,29,3,24,2.6,24,48,4.9,.517,.516,1.9,3.4,19,$440000,Traded,*8/D\
598,George\'a0Kottaras*\\kottage01,28,MIL,49,123,0,0,0,-1,2,1,0.1,4,5,0.5,.502,.501,0.6,0.1,6,$440000,Waivers,2\
599,Nick\'a0Hundley\\hundlni01,27,SDP,82,308,11,0,1,5,5,21,2.2,10,30,3.2,.527,.514,2.6,1.1,25,$439900,Amateur Draft,2\
600,Jo-Jo\'a0Reyes*\\reyesjo03,26,2TM,29,4,0,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$439100,Waivers,/1\
601,Jayson\'a0Nix\\nixja01,28,TOR,46,151,-10,0,0,9,1,0,0.0,6,6,0.6,.500,.500,-0.4,1.0,-3,$438100,Purchased,5/4D7\
602,Paul\'a0Janish\\janispa01,28,CIN,114,366,-24,-2,-1,5,5,-16,-1.8,11,-5,-0.7,.484,.489,-1.3,1.1,-10,$437500,Amateur Draft,6/54\
603,Bud\'a0Norris\\norribu01,26,HOU,31,66,-10,0,1,0,8,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,$437500,Amateur Draft,1\
604,Danny\'a0Valencia\\valenda01,26,MIN,154,608,-10,-3,-2,-13,2,-25,-2.6,23,-2,-0.4,.483,.484,1.0,-1.1,11,$437500,Amateur Draft,*5/D\
605,Jaime\'a0Garcia*\\garcija02,24,STL,32,68,-11,-1,0,0,9,-2,-0.3,0,-2,-0.3,.492,.498,-0.3,0.0,-2,$437000,Amateur Draft,1\
606,Neil\'a0Walker#\\walkene01,25,PIT,159,662,4,1,0,-3,4,6,0.6,21,26,2.6,.504,.504,2.9,0.1,29,$437000,Amateur Draft,*4\
607,Tony\'a0Sipp*\\sippto01,27,CLE,69,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$436800,Amateur Draft,1\
608,Doug\'a0Fister*\\fistedo01,27,2TM,32,7,0,0,0,0,1,1,0.1,0,1,0.1,.504,.500,0.1,0.0,1,$436500,Traded,1\
609,David\'a0Purcey*\\purceda01,29,3TM,33,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$436400,Traded,1\
610,Travis\'a0Snider*\\snidetr01,23,TOR,49,202,-9,1,0,3,-2,-7,-0.7,8,1,0.0,.485,.495,-0.3,0.1,-2,$435800,Amateur Draft,7/89D\
611,Trevor\'a0Crowe#\\crowetr01,27,CLE,15,32,-1,0,0,0,0,-2,-0.2,1,0,0.0,.490,.499,0.0,0.0,0,$435700,Amateur Draft,7/8\
612,Enrique\'a0Gonzalez\\gonzaen01,28,DET,8,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$435000,Free Agency,/1\
613,Kevin\'a0Jepsen\\jepseke01,26,LAA,16,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$435000,Amateur Draft,1\
614,Jason\'a0Motte\\motteja01,29,STL,78,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$435000,Amateur Draft,1\
615,Sergio\'a0Santos\\santose01,27,CHW,63,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$435000,Free Agency,1\
616,Wade\'a0Davis\\daviswa01,25,TBR,30,4,0,0,0,0,1,1,0.1,0,1,0.1,.502,.500,0.1,0.0,1,$434100,Amateur Draft,1\
617,Brad\'a0Bergesen*\\bergebr02,25,BAL,34,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$434000,Amateur Draft,1\
618,Joe\'a0Thatcher*\\thatcjo01,29,SDP,18,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$433900,Traded,1\
619,Bobby\'a0Parnell\\parnebo01,26,NYM,60,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$433500,Amateur Draft,1\
620,Ivan\'a0Nova\\novaiv01,24,NYY,28,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.498,.500,-0.1,0.0,-1,$432900,Rule 5 returned,1\
621,Angel\'a0Sanchez\\sanchan02,27,HOU,110,328,-14,1,0,-1,3,-11,-1.2,10,0,-0.2,.489,.493,-0.1,0.2,1,$432500,Traded,645\
622,Nate\'a0Schierholtz*\\schiena01,27,SFG,115,362,6,0,2,-6,-4,-1,-0.2,11,10,1.0,.499,.499,1.6,-1.1,16,$432500,Amateur Draft,9/7\
623,Ike\'a0Davis*\\davisik02,24,NYM,36,149,9,0,-1,1,-2,7,0.8,5,12,1.2,.521,.505,1.1,-0.1,11,$432000,Amateur Draft,3\
624,Derek\'a0Holland#\\hollade01,24,TEX,32,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$431810,Amateur Draft,1\
625,Mitch\'a0Talbot\\talbomi01,27,CLE,12,3,-1,0,0,0,0,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,$431700,Traded,1\
626,Aaron\'a0Laffey*\\laffeaa01,26,2TM,47,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$431600,Waivers,1\
627,Chris\'a0Resop\\resopch01,28,PIT,76,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$431500,Waivers,1\
628,Matt\'a0LaPorta\\laporma01,26,CLE,107,385,1,-4,0,-11,-6,-20,-2.1,14,-6,-0.7,.480,.487,0.5,-1.8,5,$431400,Traded,3/D\
629,Mitchell\'a0Boggs\\boggsmi01,27,STL,51,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$431000,Amateur Draft,1\
630,Gaby\'a0Sanchez\\sanchga01,27,FLA,159,661,11,0,-2,5,-9,6,0.6,21,26,2.7,.504,.504,2.0,-0.5,21,$431000,Amateur Draft,*3/D\
631,J.C.\'a0Gutierrez\\gutieju01,27,ARI,20,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$430500,Traded,1\
632,Alexi\'a0Ogando\\ogandal01,27,TEX,31,2,0,0,0,0,0,1,0.1,0,1,0.1,.502,.500,0.1,0.0,1,$430150,Rule 5 Draft,1\
633,Brennan\'a0Boesch*\\boescbr01,26,DET,115,472,9,-2,1,4,-6,7,0.8,18,25,2.5,.506,.504,2.1,-0.2,21,$430000,Amateur Draft,79D\
634,Brent\'a0Lillibridge\\lillibr01,27,CHW,97,216,5,1,0,7,-4,9,1.0,8,17,1.8,.510,.506,1.0,0.4,10,$430000,Traded,938/7D4\
635,Garrett\'a0Olson\\olsonga01,27,PIT,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$430000,Waivers,/1\
