Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary▼,Acquired,Pos Summary
17,Juan Gonzalez\gonzaju03,33,TEX,82,346,10,-2,-1,-1,-5,2,0.2,13,15,1.4,.502,.501,1.5,-0.5,15,$13000000,Free Agency,9D
18,Raul Mondesi\mondera01,32,2TM,143,586,10,1,2,0,-6,8,0.8,21,29,2.8,.505,.503,2.8,-0.6,29,$13000000,Traded,9/8
19,Chan Ho Park\parkch01,30,TEX,7,1,0,0,0,0,0,0,0.0,0,0,0.0,.506,.500,0.0,0.0,0,$13000000,Free Agency,/1
20,Larry Walker*\walkela01,36,COL,143,564,19,3,1,10,-5,28,2.7,18,45,4.4,.520,.517,3.4,0.4,35,$12666667,Free Agency,*9/D
21,Ken Griffey*\griffke02,33,CIN,53,201,10,2,0,-6,1,7,0.6,6,13,1.2,.512,.504,1.8,-0.6,19,$12500000,Traded,8/D
22,Darren Dreifort\dreifda01,31,LAD,10,19,-2,0,0,0,3,0,0.0,0,0,0.0,.504,.500,0.0,0.0,0,$12400000,Free Agency,1
23,Bernie Williams#\willibe02,34,NYY,119,521,7,0,-1,-17,2,-10,-0.8,19,10,1.0,.492,.494,2.6,-1.4,27,$12357143,Free Agency,*8/D
24,Jeromy Burnitz*\burnije01,34,2TM,126,505,-1,0,2,-1,-4,-4,-0.5,16,12,1.1,.497,.499,1.1,-0.6,13,$12166667,Traded,78/9
25,Andruw Jones\jonesan01,26,ATL,156,659,12,0,-1,14,3,29,2.9,21,50,4.9,.519,.518,3.4,1.7,36,$12000000,Amateur Free Agent,*8
26,Mike Mussina*\mussimi01,34,NYY,31,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$12000000,Free Agency,1
27,Bobby Higginson*\higgibo02,32,DET,130,539,-8,-2,1,-2,-6,-17,-1.6,20,3,0.3,.487,.490,0.5,-0.7,5,$11850000,Amateur Draft,*9/D8
28,Jermaine Dye\dyeje01,29,OAK,65,253,-20,-1,-2,-3,-3,-28,-2.7,9,-18,-1.8,.457,.483,-1.6,-0.5,-15,$11666667,Traded,9/8D7
29,Kevin Appier\appieke01,35,2TM,23,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.497,.500,-0.1,0.0,-1,$11500000,Traded,1
30,Vladimir Guerrero\guerrvl01,28,MON,112,467,31,-2,-2,-4,-4,19,1.8,15,33,3.2,.517,.512,3.6,-0.9,37,$11500000,Amateur Free Agent,*9
31,Andy Pettitte*\pettian01,31,NYY,33,7,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$11500000,Amateur Draft,1
32,Jason Giambi*\giambja01,32,NYY,156,690,42,0,-1,-5,-12,24,2.4,25,49,4.8,.515,.514,5.3,-1.6,54,$11428571,Free Agency,3D
33,Gary Sheffield\sheffga01,34,ATL,155,678,55,3,-1,-2,-6,50,4.8,21,70,6.8,.532,.531,7.0,-0.9,72,$11416667,Traded,*9
34,Jim Thome*\thomeji01,32,PHI,159,698,44,-4,2,-6,-9,27,2.6,21,48,4.7,.517,.517,5.3,-1.6,54,$11166667,Free Agency,*3/D
35,Nomar Garciaparra\garcino01,29,BOS,156,719,19,3,2,6,8,38,3.7,25,63,6.1,.523,.522,5.5,1.4,57,$11000000,Amateur Draft,*6
36,Tom Glavine*\glavito02,37,NYM,33,67,-7,0,0,0,9,2,0.2,0,2,0.2,.507,.501,0.2,0.0,2,$11000000,Free Agency,1
37,Mike Sweeney\sweenmi01,29,KCR,108,463,15,0,-2,-1,-9,4,0.4,17,21,2.0,.503,.502,2.1,-0.9,22,$11000000,Amateur Draft,D3
38,John Smoltz\smoltjo01,36,ATL,62,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$10666667,Free Agency,1
39,Todd Helton*\heltoto01,29,COL,160,703,60,3,-2,-8,-9,44,4.2,21,65,6.2,.527,.527,7.0,-1.8,73,$10600000,Amateur Draft,*3
40,Matt Morris\morrima01,28,STL,27,66,-1,0,0,0,9,8,0.8,0,8,0.8,.529,.505,0.8,0.0,8,$10500000,Amateur Draft,1
41,Mariano Rivera\riverma01,33,NYY,64,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$10500000,Amateur Free Agent,1
42,Roger Clemens\clemero02,40,NYY,33,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$10100000,Free Agency,1
43,Ivan Rodriguez\rodriiv01,31,FLA,144,578,15,0,-1,6,8,28,2.7,18,46,4.5,.519,.517,3.8,1.4,40,$10000000,Free Agency,*2/D
44,Curt Schilling\schilcu01,36,ARI,24,59,-12,0,1,0,8,-3,-0.3,0,-3,-0.3,.489,.498,-0.3,0.0,-3,$10000000,Traded,1
45,Matt Williams\willima04,37,ARI,44,156,-4,-1,0,-5,1,-9,-1.0,5,-4,-0.5,.479,.494,0.0,-0.5,1,$10000000,Traded,5
46,Kevin Millwood\millwke01,28,PHI,35,79,-14,0,0,0,11,-3,-0.3,0,-3,-0.3,.491,.498,-0.3,0.0,-3,$9900000,Free Agency,1
47,Tim Salmon\salmoti01,34,ANA,148,621,19,1,0,-6,-10,5,0.6,23,28,2.8,.503,.503,3.3,-1.5,34,$9900000,Amateur Draft,9D
48,Craig Biggio\biggicr01,37,HOU,153,717,5,3,1,-5,3,7,0.6,20,27,2.5,.505,.504,3.0,-0.3,32,$9750000,Amateur Draft,*8
49,Trevor Hoffman\hoffmtr01,35,SDP,9,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$9600000,Traded,/1
50,Brian Jordan\jordabr01,36,LAD,66,253,4,0,1,3,-2,5,0.5,8,13,1.3,.508,.503,1.0,0.0,10,$9600000,Traded,78/9D
51,Moises Alou\aloumo01,36,CHC,151,638,8,-5,0,-4,-7,-8,-0.9,20,12,1.1,.495,.495,1.5,-1.2,16,$9500000,Free Agency,*7/D
52,Carl Everett#\evereca01,32,2TM,147,602,17,1,1,-2,-2,15,1.6,23,38,3.7,.510,.505,3.9,-0.4,40,$9150000,Traded,8/7D9
53,Bobby Abreu*\abreubo01,29,PHI,158,695,33,2,0,6,-6,34,3.3,21,55,5.4,.522,.521,4.7,-0.1,49,$9100000,Traded,*9
54,Barry Larkin\larkiba01,39,CIN,70,265,-1,2,-1,-1,3,1,0.1,8,9,0.9,.502,.501,1.0,0.2,10,$9000000,Amateur Draft--no sign,6
55,Denny Neagle*\neaglde01,34,COL,7,13,-4,0,0,0,2,-2,-0.2,0,-2,-0.2,.465,.498,-0.2,0.0,-2,$9000000,Free Agency,/1
56,Magglio Ordonez\ordonma01,29,CHW,160,674,34,-1,-3,8,-6,32,3.2,25,57,5.6,.519,.519,4.8,0.2,49,$9000000,Amateur Free Agent,*9/8D
57,Rafael Palmeiro*\palmera01,38,TEX,154,654,13,-2,2,11,-12,12,1.2,25,36,3.5,.507,.507,2.4,-0.1,25,$9000000,Free Agency,D3
58,Brian Giles*\gilesbr02,32,2TM,134,609,33,1,0,-12,-5,18,1.6,18,35,3.4,.513,.506,4.6,-1.8,47,$8833333,Traded,78
59,Brad Radke\radkebr01,30,MIN,33,5,-1,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$8750000,Amateur Draft,1
60,Jason Kendall\kendaja01,29,PIT,150,666,14,-3,1,5,9,26,2.5,20,46,4.5,.518,.516,3.9,1.4,41,$8571429,Amateur Draft,*2
61,Andy Ashby\ashbyan01,35,LAD,21,17,-5,0,0,0,2,-2,-0.2,0,-2,-0.2,.490,.499,-0.2,0.0,-2,$8500000,Free Agency,1
62,Richard Hidalgo\hidalri01,28,HOU,141,585,31,-4,-1,19,-6,39,3.9,18,57,5.7,.528,.525,3.7,1.3,38,$8500000,Amateur Free Agent,*9/D
63,Dean Palmer\palmede01,34,DET,26,98,-11,0,0,0,-2,-13,-1.3,4,-9,-0.9,.450,.492,-0.9,-0.2,-9,$8500000,Free Agency,D/35
64,Eric Karros\karroer01,35,CHC,114,365,0,-3,-2,-8,-5,-17,-1.8,11,-6,-0.7,.485,.489,0.1,-1.3,2,$8375000,Traded,3
65,Jim Edmonds*\edmonji01,33,STL,137,531,37,0,-2,8,2,45,4.4,17,61,6.0,.533,.528,5.2,1.0,53,$8333333,Traded,*8/D7
66,Bartolo Colon\colonba01,30,CHW,34,7,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,$8250000,Traded,1
67,Jeffrey Hammonds\hammoje01,32,2TM,46,149,0,0,0,-1,-1,-3,-0.3,5,2,0.1,.494,.501,0.2,-0.2,3,$8200000,Free Agency,9
68,Aaron Sele\seleaa01,33,ANA,25,3,0,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$8166667,Free Agency,1
69,Roberto Alomar#\alomaro01,35,2TM,140,598,-11,2,0,-14,3,-21,-2.1,20,-1,-0.2,.485,.494,1.2,-1.1,13,$8000000,Traded,4
70,Bret Boone\boonebr01,34,SEA,159,705,35,2,-1,-4,4,35,3.5,26,61,5.9,.521,.521,6.3,0.0,65,$8000000,Free Agency,*4
71,Al Leiter*\leiteal01,37,NYM,30,60,-14,0,0,0,8,-6,-0.6,0,-6,-0.6,.481,.496,-0.6,0.0,-6,$8000000,Traded,1
72,Jorge Posada#\posadjo01,31,NYY,142,588,37,-3,-1,-2,8,39,3.9,22,61,5.9,.527,.523,6.1,0.7,63,$8000000,Amateur Draft,*2/D
73,Rick Reed\reedri01,38,MIN,27,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$8000000,Traded,1
74,Kazuhiro Sasaki\sasakka01,35,SEA,35,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$8000000,Amateur Free Agent,1
75,Billy Wagner*\wagnebi02,31,HOU,78,3,0,0,0,0,1,1,0.1,0,1,0.1,.501,.501,0.1,0.0,1,$8000000,Amateur Draft,1
76,Troy Percival\percitr01,33,ANA,52,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$7833333,Amateur Draft,1
77,Hideo Nomo\nomohi01,34,LAD,33,74,-10,0,0,0,10,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$7750000,Free Agency,1
78,John Olerud*\olerujo01,34,SEA,152,634,6,-5,-2,12,-8,3,0.4,24,27,2.7,.502,.502,1.5,0.4,15,$7700000,Free Agency,*3
79,Scott Rolen\rolensc01,28,STL,154,657,32,-1,-2,-4,3,28,2.7,20,48,4.7,.518,.517,5.1,-0.2,52,$7625000,Traded,*5
80,Johnny Damon*\damonjo01,29,BOS,145,690,-3,6,3,2,3,11,1.1,24,34,3.4,.507,.506,3.2,0.5,32,$7500000,Free Agency,*8/D
81,Jeff Kent\kentje01,35,HOU,130,552,15,2,-1,-8,3,12,1.1,17,29,2.8,.509,.507,3.6,-0.6,37,$7500000,Free Agency,*4
82,Tino Martinez*\martiti02,35,STL,138,547,3,-2,0,0,-8,-7,-0.8,17,10,0.9,.495,.496,0.9,-0.9,10,$7500000,Free Agency,*3/D
83,Mike Cameron\camermi01,30,SEA,147,612,9,3,-1,11,3,26,2.6,23,49,4.8,.517,.516,3.7,1.4,38,$7416667,Traded,*8
84,Darin Erstad*\erstada01,29,ANA,67,284,-9,2,0,5,1,-1,-0.1,11,9,0.9,.498,.499,0.4,0.7,4,$7250000,Amateur Draft,8
85,Troy Glaus\glaustr01,26,ANA,91,367,5,2,-1,-8,1,-1,0.0,14,13,1.3,.499,.500,2.1,-0.6,21,$7250000,Amateur Draft,5/D
86,Jason Isringhausen\isrinja01,30,STL,40,2,1,0,0,0,0,1,0.1,0,1,0.1,.503,.501,0.1,0.0,1,$7250000,Free Agency,1
87,Mike Lieberthal\liebemi01,31,PHI,131,561,16,-2,-1,-9,8,12,1.1,17,30,2.8,.510,.508,3.7,-0.1,39,$7250000,Amateur Draft,*2
88,Ellis Burks\burksel01,38,CLE,55,228,3,0,0,-1,-5,-3,-0.2,9,6,0.6,.495,.498,0.7,-0.6,7,$7166667,Free Agency,D/7
89,Matt Mantei\mantema01,29,ARI,50,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$7083333,Traded,1
90,Pedro Astacio\astacpe01,34,NYM,7,14,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,.490,.500,-0.1,0.0,-1,$7000000,Free Agency,/1
91,Charles Johnson\johnsch04,31,COL,108,414,-8,-2,-1,1,7,-4,-0.5,13,9,0.8,.496,.497,0.6,0.7,8,$7000000,Traded,2
92,Javy Lopez\lopezja01,32,ATL,129,495,45,-1,0,4,7,54,5.3,15,70,6.8,.542,.533,6.4,1.1,66,$7000000,Free Agency,*2/D
93,David Segui#\seguida01,36,BAL,67,252,-2,1,0,0,-5,-7,-0.6,9,3,0.3,.490,.496,0.2,-0.5,3,$7000000,Free Agency,D/3
94,Armando Benitez\benitar01,30,3TM,69,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$6937500,Traded,1
95,Freddy Garcia\garcifr03,26,SEA,33,5,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$6875000,Traded,1
96,J.T. Snow*\snowj.01,35,SFG,103,396,10,-3,-1,7,-5,8,0.8,12,20,2.0,.508,.505,1.2,0.2,13,$6850000,Free Agency,3
97,Matt Lawton*\lawtoma02,31,CLE,99,429,8,-1,1,-6,-5,-4,-0.3,16,13,1.2,.497,.498,1.8,-1.1,19,$6750000,Traded,7D9
98,Dmitri Young#\youngdm01,29,DET,155,635,34,0,-1,-13,-9,11,1.2,24,35,3.4,.507,.507,4.7,-2.1,48,$6750000,Traded,D75/3
99,Jeff Cirillo\cirilje01,33,SEA,87,293,-16,-2,0,-8,1,-25,-2.4,11,-14,-1.4,.472,.485,-0.6,-0.6,-6,$6725000,Traded,5/3D
100,Kevin Young\youngke01,34,PIT,52,96,-5,0,0,0,-1,-6,-0.7,3,-3,-0.4,.488,.496,-0.4,-0.2,-3,$6625000,Free Agency,3/9
101,Cliff Floyd*\floydcl01,30,NYM,108,425,18,0,0,2,-5,15,1.4,13,28,2.7,.514,.509,2.5,-0.3,26,$6500000,Free Agency,7/D
102,Todd Hundley#\hundlto01,34,LAD,21,41,0,-1,0,0,1,-1,-0.1,1,0,0.0,.496,.499,0.0,0.0,0,$6500000,Traded,2
103,Jamie Moyer*\moyerja01,40,SEA,33,6,0,0,0,0,1,1,0.1,0,1,0.1,.504,.501,0.1,0.0,1,$6500000,Free Agency,1
104,Rey Ordonez\ordonre01,32,TBD,34,124,4,0,1,-4,2,2,0.2,5,7,0.7,.507,.501,1.1,-0.2,11,$6500000,Traded,6
105,Edgar Renteria\renteed01,26,STL,157,663,26,5,-2,-1,8,37,3.5,21,57,5.6,.523,.523,5.6,0.6,58,$6500000,Traded,*6
106,Fernando Tatis\tatisfe01,28,MON,53,196,-15,0,-1,-6,1,-21,-2.2,6,-15,-1.6,.460,.487,-1.0,-0.5,-9,$6500000,Traded,5
107,Preston Wilson\wilsopr01,28,COL,155,661,12,0,-2,-5,3,7,0.6,21,28,2.6,.505,.505,3.1,-0.3,33,$6500000,Traded,*8/7
108,Tony Batista\batisto01,29,BAL,161,670,-25,-2,-3,-2,2,-30,-2.9,25,-5,-0.5,.482,.482,-0.3,0.1,-3,$6400000,Waivers,*5/D
109,Rich Aurilia\aurilri01,31,SFG,129,545,-6,0,-3,-5,6,-8,-0.9,17,9,0.7,.494,.495,1.2,0.1,14,$6250000,Traded,*6/D
110,Paul Konerko\konerpa01,27,CHW,137,495,-13,0,-5,3,-8,-24,-2.3,19,-6,-0.6,.482,.485,-0.9,-0.5,-9,$6250000,Traded,*3D
111,Shannon Stewart\stewash01,29,2TM,136,644,14,-2,1,3,-6,10,1.0,22,32,3.1,.507,.503,2.8,-0.2,29,$6200000,Traded,79/D
112,Kerry Wood\woodke02,26,CHC,32,70,-8,0,0,0,10,2,0.2,0,2,0.2,.506,.501,0.2,0.0,2,$6190000,Amateur Draft,1
113,Carlos Beltran#\beltrca01,26,KCR,141,602,24,9,2,0,2,38,3.7,23,60,5.8,.526,.522,5.8,0.3,60,$6000000,Amateur Draft,*8/D
114,Keith Foulke\foulkke01,30,OAK,72,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$6000000,Traded,1
115,Sterling Hitchcock*\hitchst01,32,2TM,35,14,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,.497,.500,-0.1,0.0,-1,$6000000,Traded,1
116,Hideki Matsui*\matsuhi01,29,NYY,163,695,9,0,1,-9,-4,-3,-0.2,26,23,2.2,.498,.498,3.1,-1.2,32,$6000000,Free Agency,*78/D
117,Eric Milton*\miltoer01,27,MIN,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$6000000,Traded,/1
118,Javier Vazquez\vazquja01,26,MON,34,79,-11,0,0,0,11,-1,-0.1,0,-1,-0.1,.499,.500,-0.1,0.0,-1,$6000000,Amateur Draft,1
119,Woody Williams\williwo02,36,STL,34,86,-1,0,1,0,12,11,1.1,0,11,1.1,.533,.507,1.1,0.0,11,$6000000,Free Agency,1
120,Tony Womack*\womacto01,33,3TM,103,364,-32,2,0,-2,4,-27,-2.9,11,-16,-1.8,.472,.492,-1.6,0.2,-14,$6000000,Traded,6
121,Jason Schmidt\schmija01,30,SFG,29,78,-17,0,0,0,11,-7,-0.7,0,-7,-0.7,.477,.496,-0.7,0.0,-7,$5937500,Traded,1
122,Kirk Rueter*\rueteki01,32,SFG,27,61,-8,0,1,0,9,1,0.1,0,1,0.1,.505,.501,0.1,0.0,1,$5866667,Traded,1
123,Alex Gonzalez\gonzaal01,30,CHC,152,601,-12,0,-2,2,7,-6,-0.7,19,13,1.1,.496,.496,0.9,0.9,11,$5750000,Traded,*6
124,Sean Casey*\caseyse01,28,CIN,147,629,3,2,-1,3,-8,-2,-0.3,19,18,1.6,.499,.499,1.3,-0.6,15,$5600000,Traded,*3
125,Brad Ausmus\ausmubr01,34,HOU,143,509,-28,-1,2,9,8,-10,-1.1,16,6,0.4,.493,.494,-0.5,1.7,-3,$5500000,Free Agency,*2
126,John Burkett\burkejo03,38,BOS,32,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$5500000,Free Agency,1
127,Jose Contreras\contrjo01,31,NYY,18,3,-1,0,0,0,1,0,0.0,0,0,0.0,.498,.500,0.0,0.0,0,$5500000,Amateur Free Agent,1
128,Ben Grieve*\grievbe01,27,TBD,55,205,2,-2,1,0,-4,-3,-0.3,8,5,0.5,.495,.498,0.5,-0.4,5,$5500000,Traded,D9
129,Mark Grudzielanek\grudzma01,33,CHC,121,531,7,2,-2,-1,3,8,0.8,16,24,2.3,.507,.505,2.4,0.1,25,$5500000,Free Agency,*4
130,Ryan Klesko*\kleskry01,32,SDP,121,474,11,-4,0,-6,-6,-6,-0.7,15,9,0.8,.495,.496,1.4,-1.3,15,$5500000,Traded,*3/D
131,Jose Vidro#\vidrojo01,28,MON,144,592,21,-1,-1,0,3,23,2.2,18,41,4.0,.516,.514,4.0,0.3,41,$5500000,Amateur Draft,*4
132,Omar Vizquel#\vizquom01,36,CLE,64,285,-5,3,-1,10,3,10,1.0,10,21,2.0,.516,.506,1.0,1.3,11,$5500000,Traded,6
133,Rondell White\whitero02,31,2TM,137,534,17,-3,-1,4,-5,13,1.2,17,30,2.9,.509,.504,2.4,-0.2,26,$5500000,Traded,7/D
134,Garret Anderson*\anderga01,31,ANA,159,673,23,-1,0,0,-7,15,1.6,25,40,4.0,.509,.509,3.9,-0.7,40,$5350000,Amateur Draft,*7D
135,Cory Lidle\lidleco01,31,TOR,31,6,0,0,0,0,1,1,0.1,0,1,0.1,.502,.500,0.1,0.0,1,$5350000,Traded,1
136,Fernando Vina*\vinafe01,34,STL,61,285,-5,-1,0,-8,1,-13,-1.3,8,-5,-0.6,.479,.492,0.2,-0.7,3,$5333333,Traded,4
137,Ray Durham#\durhara01,31,SFG,110,469,8,1,1,6,2,19,1.8,15,33,3.2,.517,.512,2.6,0.8,27,$5200000,Free Agency,4
138,Jose Mesa\mesajo01,37,PHI,61,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$5200000,Free Agency,1
139,Geoff Jenkins*\jenkige01,28,MIL,124,554,25,-4,-1,3,-5,17,1.7,16,34,3.3,.514,.511,3.0,-0.3,31,$5187500,Amateur Draft,*7/D
140,Danys Baez\baezda01,25,CLE,73,1,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$5125000,Amateur Free Agent,1
141,Richie Sexson\sexsori01,28,MIL,162,718,38,-3,-2,-11,-9,13,1.1,21,34,3.2,.508,.508,4.3,-2.1,45,$5125000,Traded,*3
142,Miguel Tejada\tejadmi01,29,OAK,162,703,13,4,3,-4,8,24,2.4,26,50,4.9,.514,.514,5.2,0.5,54,$5125000,Amateur Free Agent,*6
143,Vinny Castilla\castivi02,35,ATL,147,578,0,0,-3,2,3,2,0.1,18,20,1.8,.501,.501,1.6,0.4,18,$5000000,Free Agency,*5
144,Danny Graves\graveda01,29,CIN,31,57,-11,0,0,0,8,-3,-0.4,0,-3,-0.4,.489,.498,-0.4,0.0,-3,$5000000,Traded,1
145,Phil Nevin\nevinph01,32,SDP,59,248,8,0,-1,-6,-3,-2,-0.3,8,5,0.5,.496,.499,1.1,-0.9,11,$5000000,Traded,39
146,Frank Thomas\thomafr04,35,CHW,153,662,36,-2,0,-1,-13,19,1.9,25,44,4.3,.512,.511,4.3,-1.4,44,$5000000,Free Agency,*D3
147,Jose Valentin#\valenjo03,33,CHW,144,569,-1,1,2,10,7,19,1.9,21,40,4.0,.513,.511,3.0,1.7,30,$5000000,Traded,*6
148,Robin Ventura*\venturo01,35,2TM,138,453,0,-1,0,4,-1,2,0.2,16,18,1.8,.502,.501,1.4,0.3,14,$5000000,Traded,3/5
149,Roger Cedeno#\cedenro01,28,NYM,148,527,-10,0,0,-8,-4,-21,-2.3,16,-5,-0.7,.485,.487,0.2,-1.3,3,$4875000,Free Agency,*98
150,Luis Castillo#\castilu01,27,FLA,152,676,11,-2,4,9,4,26,2.5,20,46,4.4,.517,.516,3.5,1.2,37,$4850000,Free Agency,*4
151,Torii Hunter\hunteto01,27,MIN,154,642,-4,-1,1,16,3,14,1.5,24,38,3.8,.509,.509,2.2,1.9,22,$4750000,Amateur Draft,*8/D
152,Jason Varitek#\varitja01,31,BOS,142,521,9,-2,0,-4,8,12,1.2,20,31,3.0,.508,.507,3.4,0.4,35,$4700000,Traded,*2/D
153,Ichiro Suzuki*\suzukic01,29,SEA,159,725,14,5,4,15,-6,31,3.2,26,57,5.6,.519,.519,4.1,0.9,42,$4666667,Purchased,*9
154,Russ Ortiz\ortizru01,29,ATL,35,82,-1,-1,0,0,12,10,1.0,0,10,1.0,.528,.506,1.0,0.0,10,$4662500,Traded,1
155,Joe Randa\randajo01,33,KCR,131,566,9,1,0,-2,2,10,1.0,21,31,3.0,.507,.506,3.2,0.1,33,$4500000,Free Agency,*5/D
156,Steve Sparks\sparkst01,37,2TM,51,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$4500000,Free Agency,1
157,Ugueth Urbina\urbinug01,29,2TM,72,2,1,0,0,0,1,1,0.1,0,1,0.1,.502,.500,0.1,0.1,1,$4500000,Traded,1
158,Mark Kotsay*\kotsama01,27,SDP,128,541,-1,2,1,4,3,9,0.8,17,26,2.5,.507,.506,2.1,0.6,22,$4450000,Traded,*8
159,Kris Benson\bensokr01,28,PIT,18,37,-9,0,0,0,5,-4,-0.4,0,-4,-0.4,.478,.498,-0.4,0.0,-4,$4300000,Amateur Draft,1
160,Jeff Conine\coninje01,37,2TM,149,646,8,2,-1,0,-8,0,0.1,23,23,2.3,.500,.498,2.3,-0.7,23,$4250000,Traded,*3/795
161,Steve Finley*\finlest01,38,ARI,147,582,10,0,2,1,3,15,1.4,18,33,3.2,.510,.509,3.1,0.3,32,$4250000,Free Agency,*8
162,Billy Koch\kochbi01,28,CHW,55,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$4250000,Traded,1
163,Derrek Lee\leede02,27,FLA,155,643,25,2,0,-8,-9,10,0.9,20,30,2.9,.507,.506,3.7,-1.8,38,$4250000,Traded,*3
164,Sidney Ponson\ponsosi01,26,2TM,31,30,-7,0,0,0,4,-2,-0.2,0,-2,-0.2,.493,.499,-0.2,0.0,-2,$4250000,Amateur Free Agent,1
